movie,director,m_year,critic,crit_org,crit_cn
Waiting for Happiness,Abderrahmane Sissako,2002,Katarina Hedrén,Freelance film critic,South Africa
The White Ribbon,Michael Haneke,2009,Katarina Hedrén,Freelance film critic,South Africa
Dreams of a Life,Carol Morley,2011,Katarina Hedrén,Freelance film critic,South Africa
Tey,Alain Gomis,2012,Katarina Hedrén,Freelance film critic,South Africa
The Gleaners and I,Agnès Varda,2000,Katarina Hedrén,Freelance film critic,South Africa
Lumumba,Raoul Peck,2000,Katarina Hedrén,Freelance film critic,South Africa
Hunger,Steve McQueen,2008,Katarina Hedrén,Freelance film critic,South Africa
Fruitvale Station,Ryan Coogler,2013,Katarina Hedrén,Freelance film critic,South Africa
"Eat, Sleep, Die",Gabriela Pichler,2012,Katarina Hedrén,Freelance film critic,South Africa
Middle of Nowhere,Ava DuVernay,2012,Katarina Hedrén,Freelance film critic,South Africa
A Serious Man,Joel and Ethan Coen,2009,Jordan Hoffman,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Jordan Hoffman,Freelance film critic,US
Star Trek,J. J. Abrams,2009,Jordan Hoffman,Freelance film critic,US
Waking Life,Richard Linklater,2001,Jordan Hoffman,Freelance film critic,US
Ida,Paweł Pawlikowski,2013,Jordan Hoffman,Freelance film critic,US
Enter the Void,Gaspar Noé,2009,Jordan Hoffman,Freelance film critic,US
There Will Be Blood,Paul Thomas Anderson,2007,Jordan Hoffman,Freelance film critic,US
Of Gods and Men,Xavier Beauvois,2010,Jordan Hoffman,Freelance film critic,US
Into Great Silence,Philip Gröning,2005,Jordan Hoffman,Freelance film critic,US
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Jordan Hoffman,Freelance film critic,US
The Social Network,David Fincher,2010,Michael Hogan,Vanity Fair,US
Boyhood,Richard Linklater,2014,Michael Hogan,Vanity Fair,US
The Descendants,Alexander Payne,2011,Michael Hogan,Vanity Fair,US
Beasts of the Southern Wild,Benh Zeitlin,2012,Michael Hogan,Vanity Fair,US
No Country For Old Men,Joel and Ethan Coen,2007,Michael Hogan,Vanity Fair,US
Idiocracy,Mike Judge,2006,Michael Hogan,Vanity Fair,US
Bridesmaids,Paul Feig,2011,Michael Hogan,Vanity Fair,US
Spring Breakers,Harmony Korine,2012,Michael Hogan,Vanity Fair,US
American Psycho,Mary Harron,2000,Michael Hogan,Vanity Fair,US
The Dark Knight,Christopher Nolan,2008,Michael Hogan,Vanity Fair,US
Children of Men,Alfonso Cuarón,2006,Ann Hornaday,The Washington Post,US
There Will Be Blood,Paul Thomas Anderson,2007,Ann Hornaday,The Washington Post,US
The Hurt Locker,Kathryn Bigelow,2008,Ann Hornaday,The Washington Post,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Ann Hornaday,The Washington Post,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Ann Hornaday,The Washington Post,US
Boyhood,Richard Linklater,2014,Ann Hornaday,The Washington Post,US
Lost in Translation,Sofia Coppola,2003,Ann Hornaday,The Washington Post,US
Michael Clayton,Tony Gilroy,2007,Ann Hornaday,The Washington Post,US
You Can Count on Me Me,Kenneth Lonergan,2000,Ann Hornaday,The Washington Post,US
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,Ann Hornaday,The Washington Post,US
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,Gerhard Benedikt Friedl,2004,Alexander Horwath,Austrian Film Museum,Austria
The Master,Paul Thomas Anderson,2012,Alexander Horwath,Austrian Film Museum,Austria
Longing,Valeska Grisebach,2006,Alexander Horwath,Austrian Film Museum,Austria
I’m Not There,Todd Haynes,2007,Alexander Horwath,Austrian Film Museum,Austria
The External World,David O'Reilly,2010,Alexander Horwath,Austrian Film Museum,Austria
Secret Sunshine,Lee Chang-dong,2007,Alexander Horwath,Austrian Film Museum,Austria
Toni Erdmann,Maren Ade,2016,Alexander Horwath,Austrian Film Museum,Austria
Platform,Jia Zhangke,2000,Alexander Horwath,Austrian Film Museum,Austria
The Holy Girl,Lucrecia Martel,2004,Alexander Horwath,Austrian Film Museum,Austria
Mosaik mécanique,Norbert Pfaffenbichler,2008,Alexander Horwath,Austrian Film Museum,Austria
Boyhood,Richard Linklater,2014,Peter Howell,The Toronto Star,Canada
Holy Motors,Leos Carax,2012,Peter Howell,The Toronto Star,Canada
The Tree of Life,Terrence Malick,2011,Peter Howell,The Toronto Star,Canada
In the Mood for Love,Wong Kar-wai,2000,Peter Howell,The Toronto Star,Canada
Inside Llewyn Davis,Joel and Ethan Coen,2013,Peter Howell,The Toronto Star,Canada
Certified Copy,Abbas Kiarostami,2010,Peter Howell,The Toronto Star,Canada
Memento,Christopher Nolan,2000,Peter Howell,The Toronto Star,Canada
Y Tu Mamá También,Alfonso Cuarón,2001,Peter Howell,The Toronto Star,Canada
Mulholland Drive,David Lynch,2001,Peter Howell,The Toronto Star,Canada
A History of Violence,David Cronenberg,2005,Peter Howell,The Toronto Star,Canada
Good Night and Good Luck,George Clooney,2005,Annette Insdorf,Columbia University,US
Hugo,Martin Scorsese,2011,Annette Insdorf,Columbia University,US
Ida,Paweł Pawlikowski,2013,Annette Insdorf,Columbia University,US
A Separation,Asghar Farhadi,2011,Annette Insdorf,Columbia University,US
Amour,Michael Haneke,2012,Annette Insdorf,Columbia University,US
The Act of Killing,Joshua Oppenheimer,2012,Annette Insdorf,Columbia University,US
Quills,Philip Kaufman,2000,Annette Insdorf,Columbia University,US
The Sapphires,Wayne Blair,2012,Annette Insdorf,Columbia University,US
Where Do We Go Now?,Nadine Labaki,2011,Annette Insdorf,Columbia University,US
Ajami,Scandar Copti and Yaron Shani,2009,Annette Insdorf,Columbia University,US
The Dark Knight,Christopher Nolan,2008,Aysha Iqbal,Indian Institute of Technology,India
Inception,Christopher Nolan,2010,Aysha Iqbal,Indian Institute of Technology,India
Hero,Zhang Yimou,2002,Aysha Iqbal,Indian Institute of Technology,India
Inglourious Basterds,Quentin Tarantino,2009,Aysha Iqbal,Indian Institute of Technology,India
The Wolf of Wall Street,Martin Scorsese,2013,Aysha Iqbal,Indian Institute of Technology,India
Chakde! India,Shimit Amin,2007,Aysha Iqbal,Indian Institute of Technology,India
In the Mood for Love,Wong Kar-wai,2000,Aysha Iqbal,Indian Institute of Technology,India
No Country For Old Men,Joel and Ethan Coen,2007,Aysha Iqbal,Indian Institute of Technology,India
Maqbool,Vishal Bhardwaj,2003,Aysha Iqbal,Indian Institute of Technology,India
The Lives of Others,Florian Henckel von Donnersmarck,2006,Aysha Iqbal,Indian Institute of Technology,India
The Pianist,Roman Polanski,2002,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Only Lovers Left Alive,Jim Jarmusch,2013,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Leviathan,Andrey Zvyagintsev,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Amélie,Jean-Pierre Jeunet,2001,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Avatar,James Cameron,2009,Zhanna Issabayeva,Freelance film critic,Kazakhstan
The Tree of Life,Terrence Malick,2011,Zhanna Issabayeva,Freelance film critic,Kazakhstan
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Boyhood,Richard Linklater,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan
Coming Home,Zhang Yimou,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan
The Act of Killing,Joshua Oppenheimer,2012,Larushka Ivan-Zadeh,Metro,UK
Caché,Michael Haneke,2005,Larushka Ivan-Zadeh,Metro,UK
"Synecdoche, New York",Charlie Kaufman,2008,Larushka Ivan-Zadeh,Metro,UK
Spirited Away,Hayao Miyazaki,2001,Larushka Ivan-Zadeh,Metro,UK
WALL-E,Andrew Stanton,2008,Larushka Ivan-Zadeh,Metro,UK
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Larushka Ivan-Zadeh,Metro,UK
Lost in Translation,Sofia Coppola,2003,Larushka Ivan-Zadeh,Metro,UK
Talk to Her,Pedro Almodóvar,2002,Larushka Ivan-Zadeh,Metro,UK
The Wrestler,Darren Aronofsky,2008,Larushka Ivan-Zadeh,Metro,UK
Boyhood,Richard Linklater,2014,Larushka Ivan-Zadeh,Metro,UK
In the Mood for Love,Wong Kar-wai,2000,Nick James,Sight & Sound,UK
Caché,Michael Haneke,2005,Nick James,Sight & Sound,UK
Yi Yi: A One and a Two,Edward Yang,2000,Nick James,Sight & Sound,UK
Zero Dark Thirty,Kathryn Bigelow,2012,Nick James,Sight & Sound,UK
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Nick James,Sight & Sound,UK
White Material,Claire Denis,2009,Nick James,Sight & Sound,UK
There Will Be Blood,Paul Thomas Anderson,2007,Nick James,Sight & Sound,UK
The Look of Silence,Joshua Oppenheimer,2014,Nick James,Sight & Sound,UK
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,Nick James,Sight & Sound,UK
The Great Beauty,Paolo Sorrentino,2013,Nick James,Sight & Sound,UK
The Tree of Life,Terrence Malick,2011,David Jenkins,Little White Lies,UK
Eden,Mia Hansen-Løve,2014,David Jenkins,Little White Lies,UK
Punch-Drunk Love,Paul Thomas Anderson,2002,David Jenkins,Little White Lies,UK
Ghost World,Terry Zwigoff,2001,David Jenkins,Little White Lies,UK
Tabu,Miguel Gomes,2012,David Jenkins,Little White Lies,UK
Wendy and Lucy,Kelly Reichardt,2008,David Jenkins,Little White Lies,UK
The Headless Woman,Lucrecia Martel,2008,David Jenkins,Little White Lies,UK
Everyone Else,Maren Ade,2009,David Jenkins,Little White Lies,UK
Millennium Mambo,Hou Hsiao-hsien,2001,David Jenkins,Little White Lies,UK
In Vanda’s Room,Pedro Costa,2000,David Jenkins,Little White Lies,UK
The Master,Paul Thomas Anderson,2012,Kent Jones,Film Comment,US
The Tree of Life,Terrence Malick,2011,Kent Jones,Film Comment,US
Zodiac,David Fincher,2007,Kent Jones,Film Comment,US
Toni Erdmann,Maren Ade,2016,Kent Jones,Film Comment,US
There Will Be Blood,Paul Thomas Anderson,2007,Kent Jones,Film Comment,US
My Golden Days,Arnaud Desplechin,2015,Kent Jones,Film Comment,US
Carlos,Olivier Assayas,2010,Kent Jones,Film Comment,US
A Serious Man,Joel and Ethan Coen,2009,Kent Jones,Film Comment,US
Moonrise Kingdom,Wes Anderson,2012,Kent Jones,Film Comment,US
The Son,Jean-Pierre and Luc Dardenne,2002,Kent Jones,Film Comment,US
The Headless Woman,Lucrecia Martel,2008,Manuel Kalmanovitz,Revista Semana,Colombia
Spirited Away,Hayao Miyazaki,2001,Manuel Kalmanovitz,Revista Semana,Colombia
Mulholland Drive,David Lynch,2001,Manuel Kalmanovitz,Revista Semana,Colombia
Sumas y Restas,Víctor Gaviria,2004,Manuel Kalmanovitz,Revista Semana,Colombia
Inside Out,Pete Docter,2015,Manuel Kalmanovitz,Revista Semana,Colombia
The Gleaners and I,Agnès Varda,2000,Manuel Kalmanovitz,Revista Semana,Colombia
The Return,Andrey Zvyagintsev,2003,Manuel Kalmanovitz,Revista Semana,Colombia
Regular Lovers,Philippe Garrel,2005,Manuel Kalmanovitz,Revista Semana,Colombia
Under the Skin,Jonathan Glazer,2013,Manuel Kalmanovitz,Revista Semana,Colombia
The Days When I Do Not Exist,Jean-Charles Fitoussi,2002,Manuel Kalmanovitz,Revista Semana,Colombia
The Tree of Life,Terrence Malick,2011,Dominik Kamalzadeh,Der Standard,Austria
Holy Motors,Leos Carax,2012,Dominik Kamalzadeh,Der Standard,Austria
Tabu,Miguel Gomes,2012,Dominik Kamalzadeh,Der Standard,Austria
A History of Violence,David Cronenberg,2005,Dominik Kamalzadeh,Der Standard,Austria
Tropical Malady,Apichatpong Weerasethakul,2004,Dominik Kamalzadeh,Der Standard,Austria
The Death of Mr Lazarescu,Cristi Puiu,2005,Dominik Kamalzadeh,Der Standard,Austria
Phoenix,Christian Petzold,2014,Dominik Kamalzadeh,Der Standard,Austria
Platform,Jia Zhangke,2000,Dominik Kamalzadeh,Der Standard,Austria
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Jonas Mekas,2000,Dominik Kamalzadeh,Der Standard,Austria
Secret Sunshine,Lee Chang-dong,2007,Dominik Kamalzadeh,Der Standard,Austria
Lost in Translation,Sofia Coppola,2003,Dave Karger,Freelance,US
Silver Linings Playbook,David O. Russell,2012,Dave Karger,Freelance,US
Brooklyn,John Crowley,2015,Dave Karger,Freelance,US
Michael Clayton,Tony Gilroy,2007,Dave Karger,Freelance,US
Blue Valentine,Derek Cianfrance,2010,Dave Karger,Freelance,US
Amélie,Jean-Pierre Jeunet,2001,Dave Karger,Freelance,US
The Artist,Michel Hazanavicius,2011,Dave Karger,Freelance,US
The King’s Speech,Tom Hooper,2010,Dave Karger,Freelance,US
Vera Drake,Mike Leigh,2004,Dave Karger,Freelance,US
Wild,Jean-Marc Vallée,2014,Dave Karger,Freelance,US
Theeb,Naji Abou Nowar,2014,Butheina Kazim,Cinema Akil,UAE
A Time for Drunken Horses,Bahman Ghobadi,2000,Butheina Kazim,Cinema Akil,UAE
Oldboy,Park Chan-wook,2003,Butheina Kazim,Cinema Akil,UAE
Wild Tales,Damián Szifrón,2014,Butheina Kazim,Cinema Akil,UAE
Man on Wire,James Marsch,2008,Butheina Kazim,Cinema Akil,UAE
Only Lovers Left Alive,Jim Jarmusch,2013,Butheina Kazim,Cinema Akil,UAE
Kill Bill: Vol. 1,Quentin Tarantino,2003,Butheina Kazim,Cinema Akil,UAE
The Royal Tenenbaums,Wes Anderson,2001,Butheina Kazim,Cinema Akil,UAE
Days of Glory,Rachid Bouchareb,2006,Butheina Kazim,Cinema Akil,UAE
City of God,Fernando Meirelles and Kátia Lund,2002,Butheina Kazim,Cinema Akil,UAE
Hard to Be a God,Aleksey German,2013,Glenn Kenny,Freelance,US
Cosmos,Andrzej Zulawski,2015,Glenn Kenny,Freelance,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Glenn Kenny,Freelance,US
Carlos,Olivier Assayas,2010,Glenn Kenny,Freelance,US
Che,Steven Soderbergh,2008,Glenn Kenny,Freelance,US
The Master,Paul Thomas Anderson,2012,Glenn Kenny,Freelance,US
There Will Be Blood,Paul Thomas Anderson,2007,Glenn Kenny,Freelance,US
The Intruder,Claire Denis,2004,Glenn Kenny,Freelance,US
Morvern Callar,Lynne Ramsay,2002,Glenn Kenny,Freelance,US
25th Hour,Spike Lee,2002,Glenn Kenny,Freelance,US
In the Mood for Love,Wong Kar-wai,2000,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Dogville,Lars von Trier,2003,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Ten,Abbas Kiarostami,2002,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The White Ribbon,Michael Haneke,2009,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The Circle,Jafar Panahi,2000,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Bad Education,Pedro Almodóvar,2005,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Rust and Bone,Jacques Audiard,2012,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
5x2,François Ozon,2004,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Russian Ark,Aleksandr Sokurov,2002,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
Far From Heaven,Todd Haynes,2002,Andreas Kilb,Frankfurter Allgemeine Zeitung,Germany
The Last of the Unjust,Claude Lanzmann,2013,Uri Klein,Haaretz,Israel
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Uri Klein,Haaretz,Israel
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Uri Klein,Haaretz,Israel
"Police, Adjective",Corneliu Porumboiu,2009,Uri Klein,Haaretz,Israel
Far From Heaven,Todd Haynes,2002,Uri Klein,Haaretz,Israel
The Pianist,Roman Polanski,2002,Uri Klein,Haaretz,Israel
Winter Sleep,Nuri Bilge Ceylan,2014,Uri Klein,Haaretz,Israel
Brokeback Mountain,Ang Lee,2005,Uri Klein,Haaretz,Israel
A Separation,Asghar Farhadi,2011,Uri Klein,Haaretz,Israel
Goodbye to Language,Jean-Luc Godard,2014,Uri Klein,Haaretz,Israel
Boyhood,Richard Linklater,2014,Eric Kohn,IndieWire,US
Holy Motors,Leos Carax,2012,Eric Kohn,IndieWire,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Eric Kohn,IndieWire,US
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Eric Kohn,IndieWire,US
Enter the Void,Gaspar Noé,2009,Eric Kohn,IndieWire,US
Son of Saul,László Nemes,2015,Eric Kohn,IndieWire,US
Leviathan,Andrey Zvyagintsev,2014,Eric Kohn,IndieWire,US
The Act of Killing,Joshua Oppenheimer,2012,Eric Kohn,IndieWire,US
12 Years a Slave,Steve McQueen,2013,Eric Kohn,IndieWire,US
Idiocracy,Mike Judge,2006,Eric Kohn,IndieWire,US
Spirited Away,Hayao Miyazaki,2001,Dan Kois,Slate,US
Yi Yi: A One and a Two,Edward Yang,2000,Dan Kois,Slate,US
Before Sunset,Richard Linklater,2004,Dan Kois,Slate,US
You Can Count On Me,Kenneth Lonergan,2000,Dan Kois,Slate,US
Inside Out,Pete Docter,2015,Dan Kois,Slate,US
Morvern Callar,Lynne Ramsay,2012,Dan Kois,Slate,US
Stories We Tell,Sarah Polley,2012,Dan Kois,Slate,US
Animal Kingdom,David Michôd,2010,Dan Kois,Slate,US
Attack the Block,Joe Cornish,2011,Dan Kois,Slate,US
Jackass 3D,Jeff Tremaine,2010,Dan Kois,Slate,US
Mulholland Drive,David Lynch,2001,Michael Koresky,The Film Society of Lincoln Center,US
AI: Artificial Intelligence,Steven Spielberg,2001,Michael Koresky,The Film Society of Lincoln Center,US
The Tree of Life,Terrence Malick,2011,Michael Koresky,The Film Society of Lincoln Center,US
Syndromes and a Century,Apichatpong Weerasethakul,2006,Michael Koresky,The Film Society of Lincoln Center,US
What Time Is It There?,Tsai Ming-liang,2001,Michael Koresky,The Film Society of Lincoln Center,US
The Intruder,Claire Denis,2004,Michael Koresky,The Film Society of Lincoln Center,US
The Son,Jean-Pierre and Luc Dardenne,2002,Michael Koresky,The Film Society of Lincoln Center,US
Before Sunset,Richard Linklater,2004,Michael Koresky,The Film Society of Lincoln Center,US
The Headless Woman,Lucrecia Martel,2008,Michael Koresky,The Film Society of Lincoln Center,US
Femme Fatale,Brian De Palma,2002,Michael Koresky,The Film Society of Lincoln Center,US
A Separation,Asghar Farhadi,2011,Tomris Laffly,Freelance film critic,US
Brooklyn,John Crowley,2015,Tomris Laffly,Freelance film critic,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Tomris Laffly,Freelance film critic,US
You Can Count On Me,Kenneth Lonergan,2000,Tomris Laffly,Freelance film critic,US
Vera Drake,Mike Leigh,2004,Tomris Laffly,Freelance film critic,US
Letters From Iwo Jima,Clint Eastwood,2006,Tomris Laffly,Freelance film critic,US
Nebraska,Alexander Payne,2013,Tomris Laffly,Freelance film critic,US
The Magdalene Sisters,Peter Mullan,2002,Tomris Laffly,Freelance film critic,US
Stories We Tell,Sarah Polley,2012,Tomris Laffly,Freelance film critic,US
Father of My Children,Mia Hansen-Løve,2009,Tomris Laffly,Freelance film critic,US
The Lives of Others,Florian Henckel von Donnersmarck,2006,Rebecca Laurence,BBC Culture,UK
The Act of Killing,Joshua Oppenheimer,2012,Rebecca Laurence,BBC Culture,UK
Fish Tank,Andrea Arnold,2009,Rebecca Laurence,BBC Culture,UK
Good Night and Good Luck,George Clooney,2005,Rebecca Laurence,BBC Culture,UK
The White Ribbon,Michael Haneke,2009,Rebecca Laurence,BBC Culture,UK
The Consequences of Love,Paolo Sorrentino,2004,Rebecca Laurence,BBC Culture,UK
No Country For Old Men,Joel and Ethan Coen,2007,Rebecca Laurence,BBC Culture,UK
A Separation,Asghar Farhadi,2011,Rebecca Laurence,BBC Culture,UK
Ratatouille,Brad Bird and Jan Pinkava,2007,Rebecca Laurence,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,Rebecca Laurence,BBC Culture,UK
Children of Men,Alfonso Cuarón,2006,Richard Lawson,Vanity Fair,US
No Country For Old Men,Joel and Ethan Coen,2007,Richard Lawson,Vanity Fair,US
Before Sunset,Richard Linklater,2004,Richard Lawson,Vanity Fair,US
Summer Hours,Olivier Assayas,2008,Richard Lawson,Vanity Fair,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Richard Lawson,Vanity Fair,US
Wet Hot American Summer,David Wain,2001,Richard Lawson,Vanity Fair,US
Cast Away,Robert Zemeckis,2000,Richard Lawson,Vanity Fair,US
Caché,Michael Haneke,2005,Richard Lawson,Vanity Fair,US
Traffic,Steven Soderbergh,2000,Richard Lawson,Vanity Fair,US
Weekend,Andrew Haigh,2011,Richard Lawson,Vanity Fair,US
Yi Yi: A One and a Two,Edward Yang,2000,Maggie Lee,Variety,Hong Kong
Café Lumière,Hou Hsiao-hsien,2003,Maggie Lee,Variety,Hong Kong
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Maggie Lee,Variety,Hong Kong
The White Ribbon,Michael Haneke,2009,Maggie Lee,Variety,Hong Kong
In the Mood for Love,Wong Kar-wai,2000,Maggie Lee,Variety,Hong Kong
Millennium Actress,Satoshi Kon,2001,Maggie Lee,Variety,Hong Kong
Spirited Away,Hayao Miyazaki,2001,Maggie Lee,Variety,Hong Kong
A Separation,Asghar Farhadi,2011,Maggie Lee,Variety,Hong Kong
35 Shots of Rum,Claire Denis,2008,Maggie Lee,Variety,Hong Kong
Toni Erdmann,Maren Ade,2016,Maggie Lee,Variety,Hong Kong
The Grand Budapest Hotel,Wes Anderson,2014,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Brooklyn,John Crowley,2015,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Mad Max: Fury Road,George Miller,2015,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Pan's Labyrinth,Guillermo Del Toro,2006,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Hotel Rwanda,Terry George,2004,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Silver Linings Playbook,David O. Russell,2012,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Birdman,Alejandro González Iñárritu,2014,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Inception,Christopher Nolan,2010,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
The Curious Case of Benjamin Button,David Fincher,2008,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Inglourious Basterds,Quentin Tarantino,2009,Anastasiya Lelyukh,Front Row Filmed Entertainment,UAE
Moulin Rouge!,Baz Luhrmann,2001,Guy Lodge,Variety/The Observer,UK
White Material,Claire Denis,2009,Guy Lodge,Variety/The Observer,UK
Birth,Jonathan Glazer,2004,Guy Lodge,Variety/The Observer,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Guy Lodge,Variety/The Observer,UK
Talk to Her,Pedro Almodóvar,2002,Guy Lodge,Variety/The Observer,UK
Wendy and Lucy,Kelly Reichardt,2008,Guy Lodge,Variety/The Observer,UK
Spirited Away,Hayao Miyazaki,2001,Guy Lodge,Variety/The Observer,UK
Gravity,Alfonso Cuarón,2013,Guy Lodge,Variety/The Observer,UK
Tabu,Miguel Gomes,2012,Guy Lodge,Variety/The Observer,UK
Weekend,Andrew Haigh,2011,Guy Lodge,Variety/The Observer,UK
In the Mood for Love,Wong Kar-wai,2000,Mario Naito López,Cuban Film Press Association,Cuba
"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003,Mario Naito López,Cuban Film Press Association,Cuba
A History of Violence,David Cronenberg,2005,Mario Naito López,Cuban Film Press Association,Cuba
Talk to Her,Pedro Almodóvar,2002,Mario Naito López,Cuban Film Press Association,Cuba
Carol,Todd Haynes,2015,Mario Naito López,Cuban Film Press Association,Cuba
Melancholia,Lars von Trier,2011,Mario Naito López,Cuban Film Press Association,Cuba
The White Ribbon,Michael Haneke,2009,Mario Naito López,Cuban Film Press Association,Cuba
The Return,Andrey Zvyagintsev,2003,Mario Naito López,Cuban Film Press Association,Cuba
The Child,Jean-Pierre and Luc Dardenne,2005,Mario Naito López,Cuban Film Press Association,Cuba
Silent Light,Carlos Reygadas,2007,Mario Naito López,Cuban Film Press Association,Cuba
In the Mood for Love,Wong Kar-wai,2000,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Tropical Malady,Apichatpong Weerasethakul,2004,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Mulholland Drive,David Lynch,2001,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
The Assassin,Hou Hsiao-hsien,2015,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Shame,Steve McQueen,2011,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Spirited Away,Hayao Miyazaki,2001,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
The Hurt Locker,Kathryn Bigelow,2008,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Toni Erdmann,Maren Ade,2016,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Winter's Bone,Debra Granik,2010,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
A Prophet,Jacques Audiard,2009,Verena Lueken,Frankfurter Allgemeine Zeitung,Germany
Moon,Duncan Jones,2009,Fiona Macdonald,BBC Culture,UK
The Great Beauty,Paolo Sorrentino,2013,Fiona Macdonald,BBC Culture,UK
The Lives of Others,Florian Henckel von Donnersmarck,2006,Fiona Macdonald,BBC Culture,UK
In the Mood for Love,Wong Kar-wai,2000,Fiona Macdonald,BBC Culture,UK
The Taste of Others,Agnès Jaoui,2000,Fiona Macdonald,BBC Culture,UK
Wild Tales,Damián Szifrón,2014,Fiona Macdonald,BBC Culture,UK
Bridesmaids,Paul Feig,2011,Fiona Macdonald,BBC Culture,UK
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Fiona Macdonald,BBC Culture,UK
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,Fiona Macdonald,BBC Culture,UK
Inglourious Basterds,Quentin Tarantino,2009,Fiona Macdonald,BBC Culture,UK
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Laya Maheshwari,Freelance film critic,India
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,Laya Maheshwari,Freelance film critic,India
The Social Network,David Fincher,2010,Laya Maheshwari,Freelance film critic,India
The Grand Budapest Hotel,Wes Anderson,2014,Laya Maheshwari,Freelance film critic,India
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,Laya Maheshwari,Freelance film critic,India
The Tree of Life,Terrence Malick,2011,Laya Maheshwari,Freelance film critic,India
Holy Motors,Leos Carax,2012,Laya Maheshwari,Freelance film critic,India
Timbuktu,Abderrahmane Sissako,2014,Laya Maheshwari,Freelance film critic,India
No,Pablo Larraín,2012,Laya Maheshwari,Freelance film critic,India
Pan's Labyrinth,Guillermo Del Toro,2006,Laya Maheshwari,Freelance film critic,India
Moolaadé,Ousmane Sembène,2004,Hans-Christian Mahnke,AfricAvenir.org,Namibia
Days of Glory,Rachid Bouchareb,2006,Hans-Christian Mahnke,AfricAvenir.org,Namibia
Timbuktu,Abderrahmane Sissako,2014,Hans-Christian Mahnke,AfricAvenir.org,Namibia
